,id,AFDB50_highest_Tm,AFDB50_highest_Tm_ID,AFDB50_seqIdent,AFDB50_qcov,AFDB50_tcov,AFDB50_evalue,species
0,cons_1000,0.9193,AF-A0A183V9R6-F1-model_v4,0.35,0.708,0.509,1.584e-05,Toxocara canis
1,cons_1225,0.6198,AF-A0A0F9TCW5-F1-model_v4,0.134,0.684,0.26,8.298,marine sediment metagenome
2,cons_2059,0.97,AF-A0A0A0RAJ5-F1-model_v4,0.422,0.922,0.91,6.075e-05,Penaeus vannamei
3,cons_540,0.9518,AF-A0A6J2TBP0-F1-model_v4,0.535,0.672,0.83,7.4280000000000005e-28,Scaptodrosophila lebanonensis
4,cons_153,0.8635,AF-A0A498NM20-F1-model_v4,0.785,0.528,0.163,2.954e-12,Labeo rohita
5,cons_1784,0.4134,AF-A0A660RGD0-F1-model_v4,0.069,0.597,0.1,9.791,Thermotoga sp.
6,cons_2345,0.9295,AF-A0A6J2TIL1-F1-model_v4,0.206,0.7,0.434,0.304,Scaptodrosophila lebanonensis
7,cons_2393,0.6908,AF-A0A345YQ59-F1-model_v4,0.138,1.0,0.358,8.782,Brachybacterium saurashtrense
8,cons_1673,0.9695,AF-A0A6P7G4E5-F1-model_v4,0.3,0.759,0.18,0.04852,Diabrotica virgifera virgifera
9,cons_1318,0.9959,AF-A0A7J7B8V6-F1-model_v4,0.958,0.933,1.0,4.218e-15,Lamprigera yunnana
10,cons_917,0.2639,AF-A0A2Z7B2I8-F1-model_v4,0.204,0.96,0.186,9.563,Dorcoceras hygrometricum
11,cons_543,0.6684,AF-A0A7U8C6W2-F1-model_v4,0.196,0.576,0.981,1.643,Neptuniibacter caesariensis
12,cons_2358,0.9513,AF-C5GCN1-F1-model_v4,0.323,0.354,0.247,0.008636,Blastomyces dermatitidis ER-3
13,cons_1564,0.9765,AF-A0A182XZ43-F1-model_v4,0.394,0.784,0.858,1.126e-12,Anopheles stephensi
14,cons_1668,0.7157,AF-A0A653MJ68-F1-model_v4,0.169,1.0,0.959,8.19,Frigoribacterium sp. 9N
15,cons_2065,0.9979,AF-A0A7R9DEC2-F1-model_v4,0.818,0.538,0.918,3.406e-58,Timema cristinae
16,cons_1712,0.9744,AF-A0A6I9UV58-F1-model_v4,0.319,0.758,0.878,2.14e-07,Bactrocera dorsalis
17,cons_325,0.1677,AF-A0A2M7Z594-F1-model_v4,0.242,0.835,0.667,7.16,Candidatus Nealsonbacteria bacterium CG_4_9_14_3_um_filter_37_13
18,cons_793,0.9631,AF-T1GT19-F1-model_v4,0.443,0.967,0.765,2.173e-07,Megaselia scalaris
19,cons_1446,0.8135,AF-S9XYU3-F1-model_v4,0.171,0.518,0.629,5.37e-05,Camelus ferus
20,cons_1069,0.3833,AF-A0A415IV36-F1-model_v4,0.075,1.0,0.812,8.629,Bacteroides sp. AF39-11AC
21,cons_1419,0.4913,AF-A0A699H219-F1-model_v4,0.182,1.0,0.377,3.478,Tanacetum cinerariifolium
22,cons_1636,0.7001,AF-A0A1J1HY74-F1-model_v4,0.138,0.643,0.5,2.759,Clunio marinus
23,cons_823,0.6018,AF-A0A158PHR8-F1-model_v4,0.23,0.956,0.903,6.682,Angiostrongylus costaricensis
24,cons_1484,0.9554,AF-A0A7D9CVX0-F1-model_v4,0.642,0.972,0.986,8.219e-06,Brettanomyces bruxellensis
25,cons_1802,0.6744,AF-A0A5B7E2X4-F1-model_v4,0.169,1.0,0.413,7.434,Portunus trituberculatus
26,cons_2303,0.6682,AF-A0A7H0GWX5-F1-model_v4,0.238,0.855,0.632,5.283,Hymenobacter qilianensis
27,cons_1936,0.9971,AF-A0A0C9RM61-F1-model_v4,0.779,0.348,1.0,5.991e-27,Fopius arisanus
28,cons_269,0.9912,AF-A0A182SMN5-F1-model_v4,0.85,0.331,0.996,5.802e-38,Anopheles maculatus
29,cons_1273,0.5246,AF-A0A5B0QR78-F1-model_v4,0.176,0.595,0.195,4.974,Puccinia graminis f. sp. tritici
30,cons_826,0.9177,AF-A0A0L0CH42-F1-model_v4,0.263,0.523,0.983,0.01959,Lucilia cuprina
31,cons_870,0.2263,AF-A0A3D9SG94-F1-model_v4,0.281,0.86,0.806,9.531,Thermomonospora umbrina
32,cons_1753,0.9918,AF-A0A7T2YMR9-F1-model_v4,0.255,0.741,0.147,2.93,Delftia lacustris
33,cons_1921,0.9421,AF-A0A6J2TZ81-F1-model_v4,0.08,0.674,0.169,0.06728,Scaptodrosophila lebanonensis
34,cons_2201,0.9626,AF-A0A1A9UHL8-F1-model_v4,0.315,0.898,0.995,3.7909999999999996e-27,Glossina austeni
35,cons_852,0.7871,AF-I4DK03-F1-model_v4,0.612,0.79,0.316,0.002971,Papilio xuthus
36,cons_937,0.9979,AF-A0A6P6NST6-F1-model_v4,0.835,1.0,0.682,7.997e-12,Carassius auratus
37,cons_629,0.7021,AF-P83404-F1-model_v4,0.484,1.0,1.0,1.88e-07,Phlebotomus duboscqi
