,id,AFDB50_highest_Tm,AFDB50_highest_Tm_ID,AFDB50_seqIdent,AFDB50_qcov,AFDB50_tcov,AFDB50_evalue,species
0,droso_1071,0.2911,AF-A0A7S0K3C6-F1-model_v4,0.217,0.821,0.279,3.932,Cafeteria roenbergensis
1,droso_1132,0.3749,AF-A0A834KV32-F1-model_v4,0.25,0.951,0.526,5.273,Vespula pensylvanica
2,droso_1200,0.2306,AF-A0A812THT4-F1-model_v4,0.21,0.979,0.729,8.24,Symbiodinium natans
3,droso_5835,0.31,AF-A0A7S2YPX6-F1-model_v4,0.178,1.0,0.148,7.549,Amphiprora paludosa
4,droso_2805,0.1375,AF-A0A388K180-F1-model_v4,0.156,0.989,0.804,3.056,Chara braunii
5,droso_4490,0.288,AF-A0A7Y4X731-F1-model_v4,0.112,0.59,0.158,4.013,Deltaproteobacteria bacterium
6,droso_5122,0.4386,AF-A0A1E5A159-F1-model_v4,0.148,0.931,0.857,2.847,Flavobacteriaceae bacterium (ex Bugula neritina AB1)
7,droso_971,0.3215,AF-A0A3P7RM60-F1-model_v4,0.141,1.0,0.907,1.121,Dibothriocephalus latus
8,droso_4377,0.3974,AF-F1KU02-F1-model_v4,0.122,1.0,0.144,5.655,Ascaris suum
9,droso_1556,0.3646,AF-A0A819C2H2-F1-model_v4,0.128,1.0,0.429,6.551,Rotaria sp. Silwood1
10,droso_1238,0.1558,AF-A0A7J6RU39-F1-model_v4,0.128,0.912,0.136,5.612,Perkinsus olseni
11,droso_4674,0.6698,AF-A0A5Q5FW31-F1-model_v4,0.098,0.798,0.363,6.945,Prevotella copri
12,droso_2187,0.2183,AF-C5P314-F1-model_v4,0.171,1.0,0.414,8.353,Coccidioides posadasii C735 delta SOWgp
13,droso_4542,0.3298,AF-A0A813LUW7-F1-model_v4,0.156,0.964,0.116,2.186,Polarella glacialis
14,droso_2723,0.2589,AF-A0A6A3RUZ4-F1-model_v4,0.111,1.0,0.785,7.158,Phytophthora fragariae
15,droso_4156,0.2977,AF-A0A6C0CB20-F1-model_v4,0.208,1.0,0.206,8.729,viral metagenome
16,droso_2780,0.6806,AF-A0A6J0VJC7-F1-model_v4,0.142,0.685,0.394,7.662,Pogona vitticeps
17,droso_291,0.4173,AF-A0A5D2BIQ5-F1-model_v4,0.101,0.75,0.679,6.562,Gossypium darwinii
18,droso_1364,0.3808,AF-A0A316W4Q9-F1-model_v4,0.142,0.707,0.233,5.231,Ceraceosorus guamensis
19,droso_4761,0.3256,AF-A0A448ZPJ5-F1-model_v4,0.135,0.952,0.085,4.028,Pseudo-nitzschia multistriata
20,droso_1714,0.1618,AF-A0A6P7S8H2-F1-model_v4,0.139,1.0,0.491,6.807,Octopus vulgaris
21,droso_2381,0.354,AF-A0A2S5TNJ8-F1-model_v4,0.112,0.989,0.555,4.058,Kaistia algarum
22,droso_1442,0.3066,AF-A0A183JIU9-F1-model_v4,0.139,0.977,0.203,9.205,Schistosoma curassoni
23,droso_1368,0.3246,AF-A0A5J6PAM9-F1-model_v4,0.161,0.665,0.237,8.698,Cellvibrio sp. KY-GH-1
24,droso_6664,0.5412,AF-D3AWS8-F1-model_v4,0.246,0.947,0.231,8.441,Heterostelium album PN500
25,droso_4990,0.5004,AF-A0A4Q6DK97-F1-model_v4,0.103,0.985,0.338,2.171,Proteobacteria bacterium
26,droso_4350,0.371,AF-A0A3A0DT17-F1-model_v4,0.224,1.0,0.935,6.774,Planctomycetota bacterium
27,droso_3282,0.3936,AF-X6NGX3-F1-model_v4,0.161,0.651,0.29,6.808,Reticulomyxa filosa
28,droso_1857,0.2545,AF-A0A7J6P805-F1-model_v4,0.145,0.793,0.956,2.26,Perkinsus olseni
29,droso_1698,0.169,AF-A0A3E0NAB7-F1-model_v4,0.194,1.0,0.239,9.301,Planctomycetota bacterium
30,droso_820,0.3918,AF-R7UF45-F1-model_v4,0.119,0.933,0.425,5.364,Capitella teleta
31,droso_2121,0.4366,AF-C1EC90-F1-model_v4,0.177,0.984,0.492,6.202,Micromonas commoda
32,droso_4613,0.3714,AF-A0A388LB63-F1-model_v4,0.087,0.771,0.69,7.148,Chara braunii
33,droso_4459,0.3181,AF-A0A4U8UKS1-F1-model_v4,0.153,0.909,0.636,8.863,Steinernema carpocapsae
34,droso_2772,0.5917,AF-A0A183UFK4-F1-model_v4,0.079,0.636,0.075,9.701,Toxocara canis
35,droso_3155,0.6939,AF-A0A6S6V9K4-F1-model_v4,0.168,0.975,0.478,5.752,Pyrenophora teres f. maculata
36,droso_4534,0.3069,AF-A0A0G4NGP3-F1-model_v4,0.136,1.0,0.116,5.92,Verticillium longisporum
37,droso_2672,0.5857,AF-A0A4Y2PLV8-F1-model_v4,0.128,1.0,0.201,5.468,Araneus ventricosus
38,droso_2270,0.7715,AF-A0A2G5QL91-F1-model_v4,0.179,0.722,0.355,7.973,Caulobacter sp. FWC2
39,droso_2487,0.2767,AF-C1GME4-F1-model_v4,0.149,1.0,0.562,6.865,Paracoccidioides brasiliensis Pb18
40,droso_2399,0.8758,AF-A0A6P7V2T7-F1-model_v4,0.109,0.902,0.047,7.583,Ixodes scapularis
41,droso_152,0.4139,AF-A0A0D0BV32-F1-model_v4,0.108,0.816,0.981,4.811,Paxillus rubicundulus Ve08.2h10
42,droso_1955,0.2161,AF-A0A177UVC7-F1-model_v4,0.172,0.976,0.82,9.121,Tilletia walkeri
43,droso_2677,0.2337,AF-A0A815VNL5-F1-model_v4,0.16,0.949,0.718,8.792,Adineta steineri
44,droso_6630,0.2394,AF-A0A814CLC3-F1-model_v4,0.104,0.899,0.596,0.1333,Rotaria sordida
45,droso_1259,0.5361,AF-A0A0C3B5G3-F1-model_v4,0.121,0.822,0.194,3.923,Serendipita vermifera MAFF 305830
46,droso_4381,0.2073,AF-A0A2T7PVB4-F1-model_v4,0.171,0.851,0.231,8.923,Pomacea canaliculata
47,droso_5533,0.4502,AF-A0A7S0Z0G4-F1-model_v4,0.187,0.909,0.35,8.952,Hemiselmis tepida
48,droso_2065,0.2182,AF-A0A6A7BHP6-F1-model_v4,0.174,0.994,0.779,9.008,Plenodomus tracheiphilus IPT5
49,droso_2398,0.2988,AF-A0A2A6C576-F1-model_v4,0.149,0.897,0.55,9.36,Pristionchus pacificus
50,droso_1233,0.343,AF-A0A0M9A2H6-F1-model_v4,0.188,0.971,0.332,8.727,Melipona quadrifasciata
51,droso_1562,0.6907,AF-A0A2A4TMK8-F1-model_v4,0.064,0.785,0.266,9.227,Elusimicrobia bacterium
52,droso_608,0.5548,AF-A0A7Z1R270-F1-model_v4,0.125,0.447,0.267,6.385,Holophagae bacterium
53,droso_3110,0.6454,AF-A0A7S0H2Z3-F1-model_v4,0.134,0.583,0.184,1.445,Amorphochlora amoebiformis
54,droso_4565,0.282,AF-A0A7X7DK08-F1-model_v4,0.161,0.989,0.279,5.566,Fibrobacter sp.
55,droso_3241,0.3202,AF-W9Z2I7-F1-model_v4,0.133,0.972,0.286,6.474,Fusarium oxysporum f. sp. melonis 26406
56,droso_4588,0.4282,AF-A0A660VIM4-F1-model_v4,0.118,0.653,0.336,6.867,Planctomycetota bacterium
57,droso_721,0.3276,AF-A0A0K9GVH8-F1-model_v4,0.202,1.0,0.186,8.325,Peribacillus loiseleuriae
58,droso_1218,0.4644,AF-A0A7S3ZL12-F1-model_v4,0.094,0.991,0.673,5.912,Pelagomonas calceolata
59,droso_2122,0.5122,AF-A0A3D1T071-F1-model_v4,0.2,0.902,0.65,4.965,Firmicutes bacterium
60,droso_4707,0.5537,AF-A0A1A9I6I4-F1-model_v4,0.053,0.654,0.725,4.86,Niabella ginsenosidivorans
61,droso_804,0.2048,AF-F6XJP8-F1-model_v4,0.197,1.0,0.393,4.722,Ciona intestinalis
62,droso_2309,0.6283,AF-A0A7L4YPR7-F1-model_v4,0.145,0.705,0.359,1.614,Epidermidibacterium keratini
63,droso_4267,0.6791,AF-A0A817YLJ7-F1-model_v4,0.13,0.541,0.324,3.444,Rotaria socialis
64,droso_3818,0.06042,AF-A0A4P1RM86-F1-model_v4,0.132,0.996,0.99,3.968,Lupinus angustifolius
65,droso_5046,0.6254,AF-A0A6J8CN08-F1-model_v4,0.135,1.0,0.227,7.077,Mytilus coruscus
66,droso_2500,0.4608,AF-A0A5B0M9T8-F1-model_v4,0.146,0.86,0.325,6.623,Puccinia graminis f. sp. tritici
67,droso_4770,0.3008,AF-J9EH85-F1-model_v4,0.074,0.576,0.639,7.168,Wuchereria bancrofti
68,droso_6605,0.3569,AF-A0A5A7P8L2-F1-model_v4,0.14,0.877,0.427,9.71,Striga asiatica
69,droso_4466,0.271,AF-A0A3N6H128-F1-model_v4,0.252,0.942,0.43,6.617,Streptomyces sp. ADI97-07
70,droso_4438,0.2979,AF-Q61442-F1-model_v4,0.126,0.806,0.227,6.695,Mus musculus
71,droso_4480,0.5866,AF-A0A7G1KEQ0-F1-model_v4,0.101,1.0,0.983,9.337,Nocardia wallacei
72,droso_1424,0.407,AF-B0UR98-F1-model_v4,0.21,0.633,0.475,8.325,Methylobacterium sp. 4-46
