,id,AFDB50_highest_Tm,AFDB50_highest_Tm_ID,AFDB50_seqIdent,AFDB50_qcov,AFDB50_tcov,AFDB50_evalue,species
0,droso_1122_replicate_2_after100ns,0.6818,AF-A0A524L480-F1-model_v4,0.101,0.9,0.986,3.13,Myxococcales bacterium
1,droso_1344_replicate_1_after100ns,0.6132,AF-A0A4V5N643-F1-model_v4,0.17,0.61,0.121,9.443,Friedmanniomyces endolithicus
2,droso_5884_replicate_2_after100ns,0.3352,AF-A0A0S7ZTK5-F1-model_v4,0.135,0.698,0.956,6.202,Gemmatimonas sp. SG8_17
3,droso_5225_replicate_3_after100ns,0.4412,AF-A0A2U8E555-F1-model_v4,0.17,0.309,0.143,8.403,Ereboglobus luteus
4,droso_5052_replicate_3_after100ns,0.813,AF-A0A194PM40-F1-model_v4,0.2,0.432,0.043,1.584,Papilio xuthus
5,droso_2495_replicate_3_after100ns,0.6783,AF-A0A1E5W0X2-F1-model_v4,0.088,0.43,0.895,5.218,Dichanthelium oligosanthes
6,droso_6425_replicate_1_after100ns,0.4042,AF-A0A0C2WMG8-F1-model_v4,0.194,0.545,0.55,7.903,Amanita muscaria Koide BX008
7,droso_4662_replicate_2_after100ns,0.2083,AF-A0A7W8G7F4-F1-model_v4,0.179,0.976,0.187,8.802,Treponema ruminis
8,droso_5884_replicate_3_after100ns,0.3269,AF-A0A6N8U5K7-F1-model_v4,0.11,0.68,0.917,9.907,Copranaerobaculum intestinale
9,droso_4067_replicate_2_after100ns,0.2988,AF-A0A6L2KDB9-F1-model_v4,0.1,0.876,0.176,7.856,Tanacetum cinerariifolium
10,droso_430_replicate_2_after100ns,0.5209,AF-A0A525IMW3-F1-model_v4,0.117,0.903,0.546,7.296,Bradyrhizobium sp.
11,droso_2309_replicate_1_after100ns,0.5476,AF-A0A7U4N7R7-F1-model_v4,0.104,0.6,0.294,1.852,Xanthomonas oryzae pv. oryzicola
12,droso_1562_replicate_2_after100ns,0.2649,AF-A0A0E0JUM5-F1-model_v4,0.079,1.0,0.139,7.769,Oryza punctata
13,droso_5031_replicate_3_after100ns,0.7104,AF-A0A4Q5R209-F1-model_v4,0.086,0.469,0.183,4.727,Cytophagaceae bacterium
14,droso_1553_replicate_1_after100ns,0.2536,AF-A0A6S7AYC4-F1-model_v4,0.094,0.59,0.256,6.979,Pararobbsia alpina
15,droso_4392_replicate_2_after100ns,0.3833,AF-A0A293MJS7-F1-model_v4,0.179,0.718,0.913,7.22,Ornithodoros erraticus
16,droso_4739_replicate_1_after100ns,0.5552,AF-A0A0R1X4Q5-F1-model_v4,0.117,0.912,0.138,6.659,Schleiferilactobacillus harbinensis DSM 16991
17,droso_3991_replicate_2_after100ns,0.3609,AF-A0A177QEW3-F1-model_v4,0.215,0.701,0.159,9.29,Planctomycetaceae bacterium SCGC AG-212-F19
18,droso_1602_replicate_1_after100ns,0.1958,AF-A0A8A6KE23-F1-model_v4,0.174,0.96,0.167,7.563,Roseomonas marmotae
19,droso_5163_replicate_1_after100ns,0.602,AF-A0A498HDX1-F1-model_v4,0.095,0.483,0.635,9.217,Malus domestica
20,droso_1432_replicate_2_after100ns,0.7664,AF-A0A3M0Z0U3-F1-model_v4,0.139,0.238,0.073,2.089,Lentisphaerae bacterium
21,droso_3938_replicate_3_after100ns,0.2549,AF-A0A022QE77-F1-model_v4,0.133,1.0,0.26,9.787,Erythranthe guttata
22,droso_2612_replicate_3_after100ns,0.3075,AF-K7P8I7-F1-model_v4,0.134,0.875,0.745,9.566,Gadus morhua
23,droso_5677_replicate_3_after100ns,0.3409,AF-A0A7V2TT52-F1-model_v4,0.112,0.433,0.141,6.716,Candidatus Hydrogenedentes bacterium
24,droso_1112_replicate_3_after100ns,0.7877,AF-A0A3N4RG15-F1-model_v4,0.22,0.819,0.242,4.507,Kitasatospora niigatensis
25,droso_4185_replicate_2_after100ns,0.3884,AF-A0A1V2JSE7-F1-model_v4,0.164,0.985,0.905,6.085,Pseudomonas azotoformans
26,droso_5184_replicate_3_after100ns,0.5804,AF-A0A0R1ZRD3-F1-model_v4,0.162,0.374,0.066,3.457,Ligilactobacillus animalis KCTC 3501 = DSM 20602
27,droso_2070_replicate_2_after100ns,0.3792,AF-K1TLL2-F1-model_v4,0.158,0.969,0.401,6.222,human gut metagenome
28,droso_1244_replicate_2_after100ns,0.3251,AF-B8ADT6-F1-model_v4,0.115,0.802,0.486,3.362,Oryza sativa Indica Group
29,droso_6540_replicate_2_after100ns,0.45,AF-A0A7I8WF27-F1-model_v4,0.176,0.293,0.11,5.393,Dimorphilus gyrociliatus
30,droso_2521_replicate_2_after100ns,0.6913,AF-A0A7S2DJN3-F1-model_v4,0.114,0.452,0.504,2.612,Alexandrium andersonii
