,id,AFDB50_highest_Tm,AFDB50_highest_Tm_ID,AFDB50_seqIdent,AFDB50_qcov,AFDB50_tcov,AFDB50_evalue,species
0,rand_1000,0.5041,AF-A0A846IHF7-F1-model_v4,0.115,0.485,0.722,8.773,Clostridium botulinum
1,rand_1088,0.4474,AF-A0A840Z3J0-F1-model_v4,0.109,0.835,1.0,8.544,Stakelama sediminis
2,rand_856,0.3818,AF-T1FF09-F1-model_v4,0.112,0.973,0.086,6.282,Helobdella robusta
3,rand_1524,0.3076,AF-A0A1E7L3D6-F1-model_v4,0.142,0.988,0.944,4.939,Streptomyces nanshensis
4,rand_1929,0.4817,AF-A0A4Z1HI15-F1-model_v4,0.13,1.0,1.0,8.7,Botryotinia narcissicola
5,rand_520,0.6638,AF-A0A2F0BEP1-F1-model_v4,0.088,0.486,0.332,7.299,Eschrichtius robustus
6,rand_866,0.2449,AF-Q9DA57-F1-model_v4,0.135,0.982,0.473,3.929,Mus musculus
7,rand_3,0.04038,AF-A4I9S3-F1-model_v4,0.142,1.0,0.669,5.304,Leishmania infantum
8,rand_2012,0.3873,AF-L0G2J4-F1-model_v4,0.075,0.985,0.072,9.499,Echinicola vietnamensis DSM 17526
9,rand_2420,0.922,AF-C6M242-F1-model_v4,0.176,0.642,0.191,9.084,Neisseria sicca ATCC 29256
10,rand_1790,0.1907,AF-A0A2Z6TJB4-F1-model_v4,0.104,0.851,0.837,8.425,Burkholderia vietnamiensis
11,rand_993,0.5862,AF-A0A016UEY3-F1-model_v4,0.14,0.447,0.61,1.821,Ancylostoma ceylanicum
12,rand_262,0.496,AF-L1JKW7-F1-model_v4,0.183,0.397,0.118,9.566,Guillardia theta CCMP2712
13,rand_384,0.5048,AF-A0A3M7S2K9-F1-model_v4,0.093,0.458,0.75,9.564,Brachionus plicatilis
14,rand_1034,0.1947,AF-A0A7S1ZG20-F1-model_v4,0.117,0.99,0.328,6.068,Trieres chinensis
15,rand_710,0.2808,AF-A0A830BZ37-F1-model_v4,0.179,0.86,0.682,7.79,Phtheirospermum japonicum
16,rand_1733,0.7114,AF-A0A4Y7IUN5-F1-model_v4,0.135,0.487,0.164,9.457,Papaver somniferum
17,rand_2421,0.4902,AF-A0A2H3INY7-F1-model_v4,0.188,1.0,0.259,3.414,Penicillium occitanis (nom. inval.)
18,rand_1367,0.3896,AF-A0A6J8ERA5-F1-model_v4,0.098,0.864,0.15,9.607,Mytilus coruscus
19,rand_321,0.2301,AF-A0A0H2S6K8-F1-model_v4,0.143,1.0,0.89,0.3187,Schizopora paradoxa
20,rand_1291,0.5342,AF-A0A7R8GBZ2-F1-model_v4,0.183,0.789,0.814,0.8481,Bryobacterales bacterium F-183
21,rand_816,0.5555,AF-A0A3M8SPN3-F1-model_v4,0.109,0.487,0.099,1.297,Lysobacter psychrotolerans
22,rand_394,0.3358,AF-A0A0C2MG00-F1-model_v4,0.08,0.838,0.772,2.343,Thelohanellus kitauei
23,rand_2207,0.5902,AF-A0A2V0Q767-F1-model_v4,0.083,0.787,0.64,5.207,Pseudomonas syringae pv. actinidiae
24,rand_2295,0.336,AF-F2VQY4-F1-model_v4,0.229,0.983,0.782,3.829,Epinephelus coioides
25,rand_1444,0.1714,AF-A0A5N6LUS0-F1-model_v4,0.148,0.953,0.453,4.673,Mikania micrantha
26,rand_455,0.6847,AF-A0A182IP49-F1-model_v4,0.0,0.253,0.049,8.61,Anopheles atroparvus
27,rand_515,0.2134,AF-A0A7R7DSH5-F1-model_v4,0.142,0.993,1.0,2.954,Actinocatenispora thailandica
28,rand_1028,0.3632,AF-A0A6V7HI68-F1-model_v4,0.128,0.99,0.495,9.367,Heterotrigona itama
29,rand_1709,0.384,AF-A0A7S1N7G7-F1-model_v4,0.141,0.987,0.704,7.854,Eutreptiella gymnastica
30,rand_864,0.6205,AF-A0A3E3ACN2-F1-model_v4,0.127,0.491,0.466,6.462,Erysipelatoclostridium ramosum
31,rand_1919,0.3221,AF-B2IDT1-F1-model_v4,0.106,0.943,0.714,6.482,Beijerinckia indica subsp. indica ATCC 9039
32,rand_877,0.4151,AF-A0A6L2KXY7-F1-model_v4,0.078,1.0,0.145,5.358,Tanacetum cinerariifolium
33,rand_1420,0.6978,AF-A0A178DKA2-F1-model_v4,0.106,0.547,0.106,9.095,Pyrenochaeta sp. DS3sAY3a
34,rand_1770,0.2987,AF-A0A137Q115-F1-model_v4,0.194,0.973,0.172,9.139,Leucoagaricus sp. SymC.cos
35,rand_803,0.623,AF-A0A1C7MDV4-F1-model_v4,0.092,0.465,0.151,2.14,Grifola frondosa
36,rand_581,0.6775,AF-A0A3D2MNQ2-F1-model_v4,0.2,0.341,0.455,2.463,Ktedonobacter sp.
37,rand_1925,0.8005,AF-A0A1G2BK88-F1-model_v4,0.132,0.986,0.66,3.684,Candidatus Komeilibacteria bacterium RIFCSPHIGHO2_01_FULL_52_14
38,rand_454,0.2907,AF-G7YDW6-F1-model_v4,0.118,0.726,0.256,5.449,Clonorchis sinensis
39,rand_2229,0.3965,AF-D5PEM2-F1-model_v4,0.163,1.0,0.698,4.273,Mycobacterium parascrofulaceum ATCC BAA-614
40,rand_171,0.6169,AF-A0A2A4YJP7-F1-model_v4,0.095,0.437,0.69,1.122,Flavobacteriales bacterium
41,rand_904,0.3543,AF-A0A0L0G835-F1-model_v4,0.055,1.0,0.575,9.249,Sphaeroforma arctica JP610
42,rand_1957,0.5083,AF-W2QMN8-F1-model_v4,0.2,0.588,0.143,4.477,Phytophthora parasitica INRA-310
43,rand_1170,0.3311,AF-A0A2V9MBG8-F1-model_v4,0.22,1.0,0.396,6.973,Acidobacteria bacterium
44,rand_1091,0.3256,AF-A0A4P5ZEH8-F1-model_v4,0.127,0.99,0.902,4.641,Verrucomicrobia bacterium
45,rand_1436,0.4739,AF-A0A364MS39-F1-model_v4,0.151,0.919,0.276,2.846,Stemphylium lycopersici
46,rand_1476,0.6058,AF-A0A2P8YB87-F1-model_v4,0.123,0.845,0.412,5.503,Blattella germanica
47,rand_1039,0.5065,AF-A0A349K0G6-F1-model_v4,0.101,0.54,0.868,8.964,Verrucomicrobiales bacterium
48,rand_201,0.3142,AF-S7T3B3-F1-model_v4,0.102,0.843,0.723,9.774,Desulfohalovibrio alkalitolerans DSM 16529
49,rand_1711,0.6668,AF-A0A258BVJ2-F1-model_v4,0.134,0.87,0.235,5.898,Pseudomonadales bacterium 32-61-5
50,rand_1209,0.4261,AF-G4Z220-F1-model_v4,0.105,0.914,0.236,6.198,Phytophthora sojae strain P6497
51,rand_2180,0.4308,AF-A0A371DZP8-F1-model_v4,0.2,1.0,0.371,4.904,Mucuna pruriens
52,rand_901,0.7325,AF-A0A0N4W0T1-F1-model_v4,0.088,0.417,0.214,1.576,Haemonchus placei
53,rand_1874,0.5826,AF-A0A0N5A2X3-F1-model_v4,0.112,1.0,0.102,6.885,Parastrongyloides trichosuri
54,rand_1835,0.4504,AF-A0A177EIB0-F1-model_v4,0.174,0.836,0.108,6.191,Nematocida displodere
55,rand_2184,0.9058,AF-A0A2S0KQJ5-F1-model_v4,0.148,0.758,0.154,0.2766,Victivallales bacterium CCUG 44730
56,rand_1238,0.5015,AF-A0A0G1W7J0-F1-model_v4,0.104,0.859,0.887,8.63,Candidatus Jorgensenbacteria bacterium GW2011_GWB1_50_10
57,rand_1812,0.7927,AF-A0A1B4YZG6-F1-model_v4,0.051,0.534,0.11,8.069,Mesorhizobium loti
58,rand_521,0.3529,AF-A0A397TFT9-F1-model_v4,0.155,0.949,0.746,7.084,Glomus cerebriforme
59,rand_50,0.1135,AF-A0A1Y1V314-F1-model_v4,0.123,0.998,0.415,2.443,Piromyces finnis
60,rand_1647,0.3633,AF-A0A3L6V339-F1-model_v4,0.207,0.899,0.195,7.106,Aphanomyces astaci
61,rand_2478,0.6475,AF-A0A344UV87-F1-model_v4,0.111,0.9,0.312,8.029,Acidipropionibacterium virtanenii
62,rand_1757,0.3019,AF-A0A7V9RDE6-F1-model_v4,0.171,1.0,0.232,7.676,Deltaproteobacteria bacterium
63,rand_613,0.2968,AF-Q82QF1-F1-model_v4,0.144,0.692,0.772,3.469,Streptomyces avermitilis MA-4680 = NBRC 14893
