,id,AFDB50_highest_Tm
0,droso_38,0.4678
1,droso_3905,0.3779
2,droso_3943,0.2488
3,droso_3969,0.8641
4,droso_399,0.5763
5,droso_4038,0.9681
6,droso_4052,0.5069
7,droso_4074,0.3926
8,droso_6668,0.2659
9,droso_6690,0.3239
10,droso_680,0.4867
11,droso_723,0.8989
12,droso_769,0.323
13,droso_794,0.1056
14,droso_82,0.5053
15,droso_1705,0.6077
16,droso_172,0.3784
17,droso_1794,0.449
18,droso_1849,0.9419
19,droso_1872,0.8179
20,droso_1894,0.052860000000000004
21,droso_1917,0.4199
22,droso_193,0.229
23,droso_1880,0.4095
24,droso_1901,0.573
25,droso_1927,0.56
26,droso_196,0.9923
27,droso_2091,0.5246
28,droso_2114,0.8008
29,droso_2145,0.9215
30,droso_2184,0.5387
31,droso_2205,0.6053
32,droso_2236,0.2787
33,droso_5955,0.7524
34,droso_6016,0.2822
35,droso_6041,0.1111
36,droso_6067,0.172
37,droso_6105,0.8979
38,droso_6191,0.6032
39,droso_6230,0.2627
40,droso_4117,0.3793
41,droso_4161,0.1295
42,droso_4184,0.4101
43,droso_4213,0.4168
44,droso_4230,0.1272
45,droso_4257,0.7359
46,droso_4379,0.2988
47,droso_4956,0.356
48,droso_5020,0.5945
49,droso_505,0.7701
50,droso_5087,0.5019
51,droso_5135,0.5223
52,droso_5161,0.2816
53,droso_5560,0.4215
54,droso_557,0.5543
55,droso_5597,0.5106
56,droso_5619,0.5566
57,droso_563,0.4564
58,droso_565,0.2692
59,droso_5680,0.582
60,droso_5707,0.6067
61,droso_572,0.09683
62,droso_5753,0.4676
63,droso_938,0.4361
64,droso_1031,0.4359
65,droso_1066,0.2887
66,droso_1088,0.8328
67,droso_1164,0.3264
68,droso_1198,0.5326
69,droso_1223,0.2538
70,droso_3694,0.4632
71,droso_3716,0.8959
72,droso_3782,0.8893
73,droso_3811,0.3164
74,droso_383,0.3947
75,droso_3869,0.1807
76,droso_3895,0.3765
77,droso_3929,0.8398
78,droso_395,0.2984
79,droso_1344,0.3485
80,droso_136,0.2535
81,droso_1410,0.1831
82,droso_1514,0.3001
83,droso_1559,0.5751
84,droso_1601,0.893
85,droso_1628,0.4319
86,droso_4390,0.4008
87,droso_4401,0.2652
88,droso_4422,0.8573
89,droso_4457,0.47
90,droso_447,0.3974
91,droso_4499,0.6849
92,droso_4535,0.7761
93,droso_4575,0.676
94,droso_4598,0.3167
95,droso_1322,0.5474
96,droso_133,0.5322
97,droso_1366,0.6378
98,droso_1389,0.4061
99,droso_1415,0.3925
100,droso_143,0.1738
101,droso_1458,0.4239
102,droso_1483,0.7944
103,droso_1546,0.6467
104,droso_1679,0.5517
105,droso_4950,0.4435
106,droso_4971,0.5888
107,droso_5011,0.2921
108,droso_502,0.2635
109,droso_5050,0.657
110,droso_5074,0.7464
111,droso_5127,0.3148
112,droso_5152,0.3608
